Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12,Col 13,Col 14,Col 15,Col 16,Col 17,Col 18,Col 19,Col 20,Col 21,Col 22,Col 23,Col 24,Col 25,Col 26,Col 27,Col 28,Col 29,Col 30,Col 31,Col 32,Col 33,Col 34,Col 35,Col 36,Col 37,Col 38,Col 39,Col 40
0,6,26,1,,,0,1,184,6,0,,3327,1,,7a06385f,661fdda2,43653b6c,9813d341,6fcd6dcb,186d18b9,670da99c,2e4e821f,,,12716184,f4fc3c5e,521d9fcb,484a5e08,10dd3744,753da5f3,a1eb1511,9512c20b,,,,30254c7c,efcf1636,991321ea,2ccea557
0,,160,3,3,9,3,0,12,3,1,3,246,3,f910f6e7,b08a122f,06e490ef,80b7260b,729e35ab,6fcd6dcb,f56c180b,c160c0f0,25dd8f9a,0ca17a44,228faf6f,38e3075b,26bb0b02,521d9fcb,2f5b5c4c,844b3958,d20856aa,b8170bba,9512c20b,42c42eca,d7cb911e,c3b50cb2,aa59c5e7,655b7591,0b3c06d0,6c730e3e
0,2,31,,,,0,0,2,4,0,,,,9145443c,f21f7a0a,4b794cbe,f2463ffb,76a35846,919c68e4,cc649556,a77d6062,e0d906cb,73dc9136,812302f0,12716184,6397311a,cc4afe36,d6d40d86,fc1ec9da,1f7fc70b,a1eb1511,9512c20b,788b608e,8277789b,967187f0,e355781a,31972574,57e36578,b757e957
0,,519,,67,1,0,0,-1,27,0,1,3767,,527e5906,2d4f83f0,79c2771d,bdd5d27b,c6fc10d3,6fcd6dcb,b8add1a0,283c92c0,e25a4c11,40b054b4,750506a2,36ea101d,00c5ffb7,be4ee537,fcd8d20f,4cdc3efa,d20856aa,a1eb1511,9512c20b,083f581c,5731c43e,be98cd91,f717c6be,6a4b1ed3,cdc3217e,962813c6
0,97,209,49,376,1,0,0,6,48,0,1,1586,49,9f09322a,e0b2130d,3db3d50c,67ecc871,a5356fba,6fcd6dcb,0c9fe56d,e1908b8d,2e4e821f,c5b0e9bd,0523d0ff,bf1f2573,00c5ffb7,be4ee537,9ffb5b5d,4cdc3efa,753da5f3,a1eb1511,9512c20b,d681c7c2,271871ef,05192a01,e341c9be,ef9ab7d5,30436bfc,2ccea557
0,,5,,,1,,,1926,0,,1,43,,ca5e6b17,b3e8deb6,48834612,f2463ffb,923fe8f0,6fcd6dcb,e559fb9e,17ae60ec,7cee8453,439f198c,14874876,12716184,00c5ffb7,be4ee537,fe7e6ccb,4cdc3efa,d20856aa,b8170bba,9512c20b,95996562,6b4f2153,d7dc1d19,345726c2,7c8c4afd,30436bfc,2ccea557
0,5,327,1,3,10,1,0,1,47,1,2,96,1,e0170aa9,7898ef76,bfbe69f6,f2463ffb,c6fc10d3,6fcd6dcb,e7222fbe,e6c7ef3a,2e4e821f,a7c475d8,79eb4c55,28a1779e,a77a4a56,be4ee537,3b35b996,4cdc3efa,753da5f3,a1eb1511,9512c20b,42fb0d57,6b44670d,44df8912,3bc55cb1,165fbf32,ff654802,b757e957
0,1,166,,70,5,0,0,45,7,0,2,5117,,0ec73718,78823efa,9b4deaa5,f2463ffb,4ff7b61d,6fcd6dcb,9de65dc7,0fbabe4e,46dedfa6,47c227ca,914f2c24,a5de9e88,a77a4a56,be4ee537,5164dc49,4cdc3efa,753da5f3,b8170bba,9512c20b,259e3593,b6b0f14a,29e8feb2,009cd0cd,e0fbc3f5,ff654802,ed10571d
0,,1,10,9,,1,0,18,5,1,,43,9,62770d79,f7794e81,591d7449,a0165bab,729e35ab,6fcd6dcb,e87fcdaa,231d1ac4,46dedfa6,2e027dc1,0c7c4231,cea3f5f3,00c5ffb7,be4ee537,a5932f8e,4cdc3efa,d20856aa,b8170bba,9512c20b,c38e2f28,14f65a5d,25b1b089,d7c1fc0b,75eda050,30436bfc,ed10571d
0,26,70,22,22,,10,0,7,23,1,,796,22,e48a8c19,ea22ed0d,395b045a,f2463ffb,c6fc10d3,6fcd6dcb,12baecc5,88347358,54fc547f,8444613d,ad2f0d80,6d85a359,a77a4a56,be4ee537,0f5e1d3f,4cdc3efa,d20856aa,6bf56c26,9512c20b,209c9942,691ff4d3,6569dfc1,6d3a9d32,9460b25b,e5cb08fd,b757e957
0,3,3,1,,,0,0,3,21,0,,2080,1,23460c3a,339a5237,486edb84,72e99bed,c6fc10d3,6fcd6dcb,33abd71b,39f390ec,2e4e821f,eb7e34cd,1d0cd160,12716184,00c5ffb7,be4ee537,b13acdaf,4cdc3efa,d20856aa,b8170bba,9512c20b,2fb45e8d,984ab2d9,f8bed4bb,37c54528,17fd7c76,30436bfc,ed10571d
0,21,20,21,41,1,0,0,85,21,0,1,27972,21,6f108025,f2071765,cd85c5a4,eec6568a,1315f676,6fcd6dcb,f939c08f,f3209ba9,e0d906cb,cf9e63e5,0da2c36c,27099215,00c5ffb7,,248500f4,,,b6bc86c5,9512c20b,e83140b6,7fe52a5b,c32a66a0,,8cf0db3d,57e36578,b757e957
0,10,265,3,,1,0,0,210,3,0,1,5601,7,1f7b1e8f,968ebd36,7a870de7,941fda9d,1315f676,6fcd6dcb,43b405da,bcffe7d7,2e4e821f,26c272af,83fd36b9,a119e57a,a77a4a56,19eb8952,e660d262,10dd3744,1f7fc70b,b8170bba,9512c20b,224ea1c4,d3049ad5,fb0a9f61,bf8c0d9d,ddb03f6b,ff654802,b757e957
0,,66,,,,,0,-1,0,,,15910,,d42290b1,5d215288,f5e9c8c7,6faef306,1315f676,6fcd6dcb,2e744353,a77d6062,54fc547f,9602e298,c7965377,63717486,bf78d0d4,a6b9f2b9,d6d40d86,fc1ec9da,753da5f3,b8170bba,9512c20b,495f238c,d10d6e10,1b6e9174,833cae8f,49e3431a,337b81aa,2f33557c
0,1,,5,,,0,0,4,6,0,,7,5,e5f3fd8d,6d828ddf,41992f8c,6521d620,e755064d,6fcd6dcb,c6583d0c,43426c29,2e4e821f,7de9c0a9,6652dc64,12716184,00c5ffb7,be4ee537,8475d725,4cdc3efa,d20856aa,b8170bba,9512c20b,febfd863,a3323ca1,c8e1ee56,c1c4bc4a,c1ca3668,991321ea,ed10571d
0,2,178,,184,24,0,0,2,4,0,3,24582,,a36d2939,420224f7,9138b96c,c6f42255,3389d680,919c68e4,4561103f,0a51b347,2e4e821f,42ecfc9c,1c229a72,a4093c2a,a77a4a56,09c8c22c,16bc3ed8,10dd3744,1f7fc70b,b8170bba,b49a729d,11e4f952,0fb51d36,4cd63646,f908252d,aa14a3fa,30436bfc,b757e957
0,20,65,8,40,,1,0,3,49,1,,492,8,4e150244,1f8d6675,eb9e105e,f2463ffb,3389d680,6fcd6dcb,95101a81,59903d33,25dd8f9a,8989e0bf,573186f5,0290ebe7,00c5ffb7,5aae9a34,b867d0bc,83f41762,1f7fc70b,a1eb1511,9512c20b,f90129f0,108c7285,9211adc7,75260276,00388751,0b3c06d0,6c730e3e
0,2,303,9,42,47,15,0,7,38,2,7,937,9,b8be9cfc,e4b86a5d,3fcd7244,f2463ffb,c6fc10d3,6fcd6dcb,4ed0b9ef,8f551379,25dd8f9a,8bf7306a,e93b73b2,f0a8436b,a77a4a56,b23258b0,24225401,2514f91d,753da5f3,b8170bba,108a0699,2f269ae9,c2c7cfee,1f40133a,ca633500,10faae8f,321935cd,0b919f8e
0,,118,0,,,0,0,27,3,0,,5,0,63e67382,f2d255bc,2f8b4da4,67ecc871,c6fc10d3,6fcd6dcb,2484daa8,ac315d60,a48e16ed,4267e2cb,6dda7ece,1d5e1b32,00c5ffb7,be4ee537,d4c60724,4cdc3efa,d20856aa,b8170bba,9512c20b,0d960318,399fd66f,d660281b,15992145,c1c983cb,30436bfc,2ccea557
0,39,,7,,,0,0,1,7,0,,,7,c08a492e,0167318d,4b794cbe,f2463ffb,c6fc10d3,919c68e4,cc649556,a77d6062,54fc547f,d4d2e772,66d09eef,12716184,6397311a,15013bff,d6d40d86,10dd3744,753da5f3,b8170bba,9512c20b,fa9afe6d,bbd59d61,f7fddb38,30254c7c,31972574,337b81aa,6c730e3e
0,137,4,,,,,0,2,0,,,7349,,294f21a0,7898ef76,0177ac1e,67ecc871,3a57336e,6fcd6dcb,8272f6aa,e6c7ef3a,e25a4c11,b457a6e4,67148f9e,073e6d69,405ca118,be4ee537,3b35b996,4cdc3efa,753da5f3,b8170bba,9512c20b,49afec03,50db4627,535faab6,40d19f29,f92aece3,cdc3217e,b757e957
0,15,761,13,1,11,5,0,0,2,1,2,5,1,ad98e872,4c949e10,9a5c9cb9,f2463ffb,c6fc10d3,6fcd6dcb,4f9e7dd5,e242fdc0,7cee8453,62da11e3,14874876,0ed0f7d1,a77a4a56,be4ee537,739393d2,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,051cbaaa,ff654802,e1be5ef2
0,2,1700,1,178,14,0,0,60,5,0,7,7251,1,62770d79,1a05a2a2,08939f13,386c49ee,8884f6ae,6fcd6dcb,27f43f86,ed5dc275,2e4e821f,2e027dc1,0c7c4231,34e9e93f,d49eb1df,be4ee537,8cb5e878,4cdc3efa,d20856aa,d9f758ff,9512c20b,c38e2f28,14f65a5d,25b1b089,d7c1fc0b,d7b3dff0,991321ea,ed10571d
0,,1231,,451,3,0,0,293,24,0,2,9810,,96a01670,442c9ccf,1ccb4421,80b7260b,4ff7b61d,6fcd6dcb,1b139aa3,d672c76f,2e4e821f,3d1e783e,c1704b31,1f1ea65a,a77a4a56,,ec4fec32,,,d9f758ff,9512c20b,3bb55df2,0a17b4e9,efde10f4,,15775111,991321ea,b757e957
0,140,20,11,,,0,0,8,12,0,,1,11,cd1e950b,191fa7b7,90d59266,386c49ee,c6fc10d3,6fcd6dcb,c613116b,b376349d,2e4e821f,dc1a600d,b59debeb,8ccbdaad,bf78d0d4,be4ee537,9ad63abb,4cdc3efa,d20856aa,b8170bba,9512c20b,cdc8fdeb,c0d5ac53,e3449fd9,533dc96d,e8a7e055,30436bfc,2ccea557
0,5,49,3,9,6,0,0,2,7,0,2,2908,8,227e8733,86827807,aac9bfcd,3f85ecae,7be43aaf,6fcd6dcb,c8f0a47b,312aa74b,25dd8f9a,9247119f,55df94c2,12716184,bf78d0d4,6f68b095,96fd88a3,10dd3744,1f7fc70b,b8170bba,9512c20b,d9e29980,a10af4de,350a12b5,36089423,ca90e137,321935cd,6c730e3e
0,69,9,24,98,3,0,0,11,25,0,1,2449,24,3255c101,5879ea73,fbd3a012,25e5922e,579a4841,6fcd6dcb,6de1f0ce,8f551379,54fc547f,c0352ac0,82a9fd87,4377aefd,00c5ffb7,ab11f414,eea7f013,2514f91d,1f7fc70b,b6bc86c5,9512c20b,c8bbae8c,ceec16ad,1e99e27c,44ead885,54a493a3,337b81aa,b757e957
0,1,3,,,,,0,2,0,,,194559,,e9358694,710103fd,d126c1db,386c49ee,1315f676,919c68e4,05df2bc9,09f8a09d,25dd8f9a,0e0440fa,71ddddfd,12716184,00c5ffb7,521d9fcb,2b083b96,10dd3744,1f7fc70b,b8170bba,9512c20b,d51c1584,e2653d9b,0d2bcdd1,3847109f,41d9af7d,0b3c06d0,b757e957
0,6,781,1,,1,0,0,40,3,0,1,31538,1,d85f2ad1,04fd83f3,f39c732b,f2463ffb,1315f676,919c68e4,c2a1cc47,b2a2bd17,2e4e821f,137eed43,ba3fa7ea,458b1670,a77a4a56,be4ee537,57469cbd,4cdc3efa,d20856aa,7232d217,9512c20b,b12c95cf,93e59fb0,f6a22230,6fa20e1e,d43abaf7,30436bfc,b757e957
0,29,301,3,,,0,0,18,5,0,,279302,3,aa2b34c0,53937c2b,89d15a0c,386c49ee,c6fc10d3,919c68e4,b05e7785,337bf7a5,7cee8453,b902e65c,7c385133,492a1d00,bf78d0d4,be4ee537,eb24f585,4cdc3efa,d20856aa,b8170bba,9512c20b,fc2db303,2e5280bd,7b51ca30,f6a673fc,1fd4875d,30436bfc,2ccea557
0,7,113,2,31,1,1,0,1,33,1,1,825,2,b88c29c4,e8b79fab,f3b06597,72e99bed,3389d680,6fcd6dcb,5cac5658,59903d33,e0d906cb,9a662935,4d04c09d,64151934,bf78d0d4,672e9cf8,b867d0bc,83f41762,1f7fc70b,b8170bba,34879027,6ed03e67,f6cf0597,1808de1f,7063761b,50fd8396,57e36578,a0614ec9
0,7,10,,,,0,0,3,5,0,,2013,,74a30cd8,6cb37419,098c2082,f21cc470,4a421ddc,6fcd6dcb,8289bf6d,4f0efcd9,25dd8f9a,c732cf63,b8396a1e,12716184,e07cc34d,be4ee537,d580d6e0,4cdc3efa,d20856aa,b8170bba,9512c20b,22bc6cac,7e7ea51d,6cf302bd,00636f85,342f627f,321935cd,b757e957
0,6,1553,4,1181,1,0,0,1,7,0,1,23784,4,c250bf94,54d1eb2b,10628dab,b0c5e548,4dc31926,6fcd6dcb,d2fd263f,0473ded1,7cee8453,a8a6a8cc,7cf0ec72,bca6a572,00c5ffb7,,43ee1436,,,d9f758ff,9512c20b,d7eb96fc,65842e6f,47cd7e61,,c822b5c8,30436bfc,b757e957
0,34,1044,5,,,0,0,18,6,0,,170807,5,,5879ea73,89fd59da,f2463ffb,f249776e,919c68e4,275674a0,8f551379,2e4e821f,,,fdc64c2b,a77a4a56,521d9fcb,eea7f013,4cdc3efa,1f7fc70b,a1eb1511,9512c20b,,,,30254c7c,7122e33a,ff654802,b757e957
0,,59,0,0,,1,0,1,1,1,,1,0,54a6850a,47d74f96,cfd3a1ee,da8a3421,3cd69f23,6fcd6dcb,8d364c22,0a51b347,e25a4c11,1a6c750a,cb25cf42,1fc86b74,00c5ffb7,521d9fcb,16bc3ed8,1d738c50,753da5f3,a1eb1511,9512c20b,9815a43e,b8f147f0,88968949,c2d03ddb,d113dc1e,cdc3217e,2ccea557
0,4,60,6,11,1,0,0,488,6,0,1,3951,6,2f85a9c1,1f8d6675,f5b76cd5,f2463ffb,fcd95698,6fcd6dcb,8844c5dc,59903d33,54fc547f,7ca5d9ac,79ac1ba4,4cdde7d9,00c5ffb7,55191c09,b867d0bc,83f41762,753da5f3,a1eb1511,9512c20b,031b49ed,e0627882,09b26ad5,9c947091,d46f58b3,337b81aa,6c730e3e
0,125,148,13,,1,0,0,6,49,0,1,550,14,4dc5aa51,c3912001,24dac337,0cb4d8b1,cbd89a13,6fcd6dcb,63506c70,09f8a09d,e25a4c11,bfb6c034,b7ef7b34,032b2571,bf78d0d4,a5461812,2b083b96,10dd3744,1f7fc70b,b8170bba,9512c20b,d4b6f42d,9ee957d8,e0878426,8b44113f,5e255122,cdc3217e,ed10571d
0,1,654,1,467,8,0,0,1,1,0,2,11831,1,372034f9,26d53fc6,81f21e4d,67ecc871,1315f676,6fcd6dcb,3e4d438f,a5c8d452,2e4e821f,e7f04942,750506a2,e4b423df,a77a4a56,,923d0750,,,ab4667da,9512c20b,b359c87c,8e01df1e,d6a6e652,,20f66bed,30436bfc,2ccea557
