Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12,Col 13,Col 14,Col 15,Col 16,Col 17,Col 18,Col 19,Col 20,Col 21,Col 22,Col 23,Col 24,Col 25,Col 26,Col 27,Col 28,Col 29,Col 30,Col 31,Col 32,Col 33,Col 34,Col 35,Col 36,Col 37,Col 38,Col 39,Col 40
0,1,185,1,53,25,0,0,1309,11,0,6,8880,3,62770d79,1a05a2a2,dd4e3fe8,f2463ffb,029241f5,6fcd6dcb,715c282e,ed5dc275,2e4e821f,2e027dc1,0c7c4231,6d85a359,f4fc3c5e,be4ee537,8cb5e878,4cdc3efa,d20856aa,b8170bba,9512c20b,c38e2f28,14f65a5d,25b1b089,d7c1fc0b,18345a7d,30436bfc,ed10571d
0,,73,,0,35,3,2,-1,2,2,3,100,,788a5d5b,1bfa33a8,7ad6521e,386c49ee,c6fc10d3,6fcd6dcb,3fd1c581,bcef0e77,2e4e821f,16ec16d6,fa478aa9,b79cff9b,d49eb1df,,3d62d999,,,a1eb1511,9512c20b,ef426d46,0683bc6f,6e86ac23,,bff3f545,30436bfc,ed10571d
0,98,1784,3,57,10,13,1,0,5,1,4,843,3,370e3808,7b831047,6332183d,386c49ee,664ff944,6fcd6dcb,d935d694,b69a2b08,dbe3aa6f,f68648e0,57606b4c,dd61aab7,d49eb1df,be4ee537,9eb57ff0,4cdc3efa,d20856aa,b8170bba,9512c20b,112e6150,8b75f692,1cba307f,7638442e,636c3c07,d0b1afa5,2ccea557
0,252,141,4,,,0,0,2,4,0,,282178,4,40685d42,04fd83f3,247e7502,f2463ffb,27d2607e,919c68e4,dfd120c8,b2a2bd17,54fc547f,ac3be01b,064dca9e,9d085082,00c5ffb7,be4ee537,57469cbd,4cdc3efa,753da5f3,a1eb1511,9512c20b,5cd1776f,1a521a2b,835d0ceb,5ce67123,0ef93880,337b81aa,b757e957
0,62,3,5,,,0,0,3,5,0,,14136,5,1cc54241,3238d087,e174d077,6faef306,1315f676,6fcd6dcb,11507b2a,a7a62f00,dbe3aa6f,321f02c1,1766c8b8,6eb1e471,405ca118,be4ee537,38969db7,4cdc3efa,753da5f3,7232d217,9512c20b,9624de76,20f65115,d743ae70,e4ee42a4,edb31dc8,d0b1afa5,b757e957
0,4,626,1,,,0,0,4,3,0,,450859,1,08c17295,11b5bc17,1ee498d5,da8a3421,3cd69f23,919c68e4,881dcfdc,337bf7a5,7cee8453,28073b0f,c07622fb,12716184,a77a4a56,be4ee537,eb24f585,4cdc3efa,d20856aa,a1eb1511,9512c20b,8c3edacc,2d36989e,fb0ff625,26eedbf6,7cf96319,ff654802,b757e957
0,9,265,,31,63,0,2,127,0,0,22,2167,,3f19ae76,0a278606,339b43ec,5aff3e0a,d5ce6889,6fcd6dcb,91d09488,508ba7bb,7cee8453,72f928da,c6bd8417,157a25cc,26bb0b02,d3480393,f9bcc0b4,70198717,1f7fc70b,628f1b8d,9512c20b,b7fd03e9,090f16f4,554bf9c0,defe9f70,aec8d97d,d5578a54,b757e957
0,8,11,4,23,3,0,1,52,0,0,1,2988,5,ad98e872,ac4c5591,b8ae380d,f2463ffb,4d2e5b2a,6fcd6dcb,4f3aef12,73f9dacc,54fc547f,62da11e3,14874876,2105c20b,f4fc3c5e,be4ee537,c76f0d8a,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,54b00be7,337b81aa,e1be5ef2
0,1,340,,137,22,0,0,57,18,0,3,512,,bb180597,30014781,bcd11b95,f2463ffb,98de12a1,6fcd6dcb,44c11ca7,2d475f1e,7cee8453,ff946d04,5e6237db,12716184,a77a4a56,be4ee537,66bc07ff,4cdc3efa,d20856aa,b8170bba,108a0699,7e6ed9ea,c68ac985,e6a8db23,3e5d5a94,d3f17f36,30436bfc,2ba8d787
0,,13,2,,,0,0,30,5,0,,8340,2,5928aa83,9a6c1869,9dc11286,6521d620,40264cfe,6fcd6dcb,daddf3fb,17ae60ec,25dd8f9a,bb8e3e2b,9f0c7d00,12716184,e07cc34d,be4ee537,fe7e6ccb,4cdc3efa,d20856aa,b8170bba,0a1d513f,c8a18af3,e0d32da0,78c1c59d,e554bb77,375dcbe1,321935cd,b757e957
0,,279,,25,5,0,0,1008,0,0,3,5598,,10bed4f9,1df55082,912ede26,d8275fec,de15f064,6fcd6dcb,a00767ed,1b9a9994,25dd8f9a,002be8de,203ec485,efc7a61e,a77a4a56,,0f682585,,,b8170bba,9512c20b,a2e22a3f,e87e27bc,d7fd1eb9,,68a60c57,321935cd,962813c6
0,78,133,19,170,1,0,0,16,19,0,1,2835,19,188d8783,8b68dbb8,f19df729,f2463ffb,c6fc10d3,6fcd6dcb,b6db430e,b376349d,2e4e821f,fd5b089a,b59debeb,8379e54c,00c5ffb7,be4ee537,9ad63abb,4cdc3efa,d20856aa,b8170bba,9512c20b,92da081b,dd81e03c,f8628b4a,533dc96d,5dea4c3e,30436bfc,b757e957
0,8,660,,,,0,0,2,5,0,,118867,,a46d7dc9,489aef86,efc71c62,386c49ee,513057af,919c68e4,8739dd35,8f551379,54fc547f,fcbba340,b8ea87fd,bca8c4d1,a77a4a56,b49a729d,eea7f013,2514f91d,1f7fc70b,b8170bba,9512c20b,c5d2b322,7f4a4dee,5179c876,763a2c8c,85d4af8c,337b81aa,6c730e3e
0,3,,3,,,0,0,12,3,0,,743,3,76c16bc0,bf056089,48c07a22,f2463ffb,c6fc10d3,6fcd6dcb,fad5de89,1c904173,2e4e821f,548f6521,83fd36b9,b5168b4a,405ca118,521d9fcb,725e4eab,10dd3744,d20856aa,a1eb1511,9512c20b,c8c79f80,ed5a7d34,603ba0f0,0fcdb630,348246ae,30436bfc,b757e957
0,15,271,,194,2,0,0,3,19,0,1,374,,340f2fcd,191fa7b7,3cd7902e,55c2f9e1,c6fc10d3,6fcd6dcb,000d2af9,b376349d,2e4e821f,7af9a274,b59debeb,9e5c4993,bf78d0d4,be4ee537,9ad63abb,4cdc3efa,d20856aa,b8170bba,9512c20b,f62f43aa,2b2b9c85,90734195,869c5d90,7cd621f3,30436bfc,2ccea557
0,9,,2,,,0,0,8,2,0,,807,2,efce0b05,31d49296,48c07a22,386c49ee,664ff944,6fcd6dcb,fad5de89,4d09905d,2e4e821f,269b7bc8,2bb7b429,12716184,e07cc34d,be4ee537,d806128f,4cdc3efa,d20856aa,b8170bba,9512c20b,180296f9,1cfd20a1,8cce1961,5522a351,348246ae,30436bfc,ed10571d
0,16,347,15,,,0,0,13,17,0,,1254,15,62770d79,f7794e81,4792101c,6faef306,1315f676,6fcd6dcb,ac71abaa,231d1ac4,7cee8453,2e027dc1,0c7c4231,12716184,e07cc34d,be4ee537,a5932f8e,4cdc3efa,d20856aa,b8170bba,9512c20b,c38e2f28,14f65a5d,25b1b089,d7c1fc0b,317d843b,ff654802,ed10571d
0,16,,15,28,,1,0,7,19,1,,1350,28,e5f3fd8d,a0aaffa6,5bd4f067,492b6002,6ffb14ab,6fcd6dcb,16c09931,43426c29,7cee8453,7de9c0a9,6652dc64,bcaf6b4d,00c5ffb7,be4ee537,f3bbfe99,4cdc3efa,d20856aa,c013b6d8,9512c20b,febfd863,a3323ca1,c8e1ee56,1752e9e8,1eaafedd,30436bfc,b757e957
0,17,1,4,4,,1,0,3,4,1,,156,4,1abaa1d3,11b5bc17,d6ee9c4a,941fda9d,1315f676,6fcd6dcb,186851a7,337bf7a5,2e4e821f,a17c3d64,e4e60b9c,12716184,00c5ffb7,be4ee537,eb24f585,4cdc3efa,d20856aa,b8170bba,9512c20b,fa4fd609,de2d8d05,ba5ba304,6edb7186,4f06ab8c,ff654802,b757e957
0,,60,,56,25,,0,0,0,,1,30270,,788a5d5b,4124eb73,af84cf44,3f85ecae,1315f676,6fcd6dcb,a2e8808c,75893ae5,7cee8453,16ec16d6,fa478aa9,102eeea2,a77a4a56,,b9df7508,,,b6bc86c5,9512c20b,ef426d46,0683bc6f,6e86ac23,,99c2f4d8,30436bfc,ed10571d
